initial_alias,converted_alias,name,description,namespace
ENSMUSG00000012123,ENSMUSG00000012123,Crybg2,crystallin beta-gamma domain containing 2 [Source:MGI Symbol;Acc:MGI:1334463],"ARRAYEXPRESS,ENSG"
ENSMUSG00000000682,ENSMUSG00000000682,Cd52,CD52 antigen [Source:MGI Symbol;Acc:MGI:1346088],"ARRAYEXPRESS,ENSG"
ENSMUSG00000012126,ENSMUSG00000012126,Ubxn11,UBX domain protein 11 [Source:MGI Symbol;Acc:MGI:1914836],"ARRAYEXPRESS,ENSG"
ENSMUSG00000028843,ENSMUSG00000028843,Sh3bgrl3,SH3 domain binding glutamic acid-rich protein-like 3 [Source:MGI Symbol;Acc:MGI:1920973],"ARRAYEXPRESS,ENSG"
ENSMUSG00000037443,ENSMUSG00000037443,Cep85,centrosomal protein 85 [Source:MGI Symbol;Acc:MGI:1917262],"ARRAYEXPRESS,ENSG"
ENSMUSG00000073747,ENSMUSG00000073747,Zpld2,zona pellucida like domain containing 2 [Source:MGI Symbol;Acc:MGI:3702974],"ARRAYEXPRESS,ENSG"
ENSMUSG00000081772,ENSMUSG00000081772,Gm13131,predicted gene 13131 [Source:MGI Symbol;Acc:MGI:3651062],"ARRAYEXPRESS,ENSG"
ENSMUSG00000048003,ENSMUSG00000048003,Catsper4,"cation channel, sperm associated 4 [Source:MGI Symbol;Acc:MGI:3043288]","ARRAYEXPRESS,ENSG"
ENSMUSG00000028841,ENSMUSG00000028841,Cnksr1,connector enhancer of kinase suppressor of Ras 1 [Source:MGI Symbol;Acc:MGI:2670958],"ARRAYEXPRESS,ENSG"
ENSMUSG00000028840,ENSMUSG00000028840,Zfp593,zinc finger protein 593 [Source:MGI Symbol;Acc:MGI:1915290],"ARRAYEXPRESS,ENSG"
ENSMUSG00000050105,ENSMUSG00000050105,Fam110d,"family with sequence similarity 110, member D [Source:MGI Symbol;Acc:MGI:1919940]","ARRAYEXPRESS,ENSG"
ENSMUSG00000050890,ENSMUSG00000050890,Pdik1l,PDLIM1 interacting kinase 1 like [Source:MGI Symbol;Acc:MGI:2385213],"ARRAYEXPRESS,ENSG"
ENSMUSG00000028836,ENSMUSG00000028836,Slc30a2,"solute carrier family 30 (zinc transporter), member 2 [Source:MGI Symbol;Acc:MGI:106637]","ARRAYEXPRESS,ENSG"
ENSMUSG00000028838,ENSMUSG00000028838,Extl1,exostosin-like glycosyltransferase 1 [Source:MGI Symbol;Acc:MGI:1888742],"ARRAYEXPRESS,ENSG"
ENSMUSG00000037366,ENSMUSG00000037366,Pafah2,platelet-activating factor acetylhydrolase 2 [Source:MGI Symbol;Acc:MGI:2140321],"ARRAYEXPRESS,ENSG"
ENSMUSG00000087343,ENSMUSG00000087343,1700021N21Rik,RIKEN cDNA 1700021N21 gene [Source:MGI Symbol;Acc:MGI:1916659],"ARRAYEXPRESS,ENSG"
ENSMUSG00000028832,ENSMUSG00000028832,Stmn1,stathmin 1 [Source:MGI Symbol;Acc:MGI:96739],"ARRAYEXPRESS,ENSG"
ENSMUSG00000083001,ENSMUSG00000083001,Gm13250,predicted gene 13250 [Source:MGI Symbol;Acc:MGI:3650425],"ARRAYEXPRESS,ENSG"
ENSMUSG00000037348,ENSMUSG00000037348,Paqr7,progestin and adipoQ receptor family member VII [Source:MGI Symbol;Acc:MGI:1919154],"ARRAYEXPRESS,ENSG"
ENSMUSG00000078521,ENSMUSG00000078521,Aunip,aurora kinase A and ninein interacting protein [Source:MGI Symbol;Acc:MGI:1917135],"ARRAYEXPRESS,ENSG"
ENSMUSG00000046671,ENSMUSG00000046671,Mtfr1l,mitochondrial fission regulator 1-like [Source:MGI Symbol;Acc:MGI:1924074],"ARRAYEXPRESS,ENSG"
ENSMUSG00000050989,ENSMUSG00000050989,Selenon,selenoprotein N [Source:MGI Symbol;Acc:MGI:2151208],"ARRAYEXPRESS,ENSG"
ENSMUSG00000037306,ENSMUSG00000037306,Man1c1,"mannosidase, alpha, class 1C, member 1 [Source:MGI Symbol;Acc:MGI:2446214]","ARRAYEXPRESS,ENSG"
ENSMUSG00000037295,ENSMUSG00000037295,Ldlrap1,low density lipoprotein receptor adaptor protein 1 [Source:MGI Symbol;Acc:MGI:2140175],"ARRAYEXPRESS,ENSG"
ENSMUSG00000028826,ENSMUSG00000028826,Maco1,macoilin 1 [Source:MGI Symbol;Acc:MGI:1913396],"ARRAYEXPRESS,ENSG"
ENSMUSG00000028825,ENSMUSG00000028825,Rhd,"Rh blood group, D antigen [Source:MGI Symbol;Acc:MGI:1202882]","ARRAYEXPRESS,ENSG"
ENSMUSG00000028822,ENSMUSG00000028822,Tmem50a,transmembrane protein 50A [Source:MGI Symbol;Acc:MGI:1919067],"ARRAYEXPRESS,ENSG"
ENSMUSG00000037266,ENSMUSG00000037266,Rsrp1,arginine/serine rich protein 1 [Source:MGI Symbol;Acc:MGI:106498],"ARRAYEXPRESS,ENSG"
ENSMUSG00000028821,ENSMUSG00000028821,Syf2,"SYF2 homolog, RNA splicing factor (S. cerevisiae) [Source:MGI Symbol;Acc:MGI:1915842]","ARRAYEXPRESS,ENSG"
ENSMUSG00000070691,ENSMUSG00000070691,Runx3,runt related transcription factor 3 [Source:MGI Symbol;Acc:MGI:102672],"ARRAYEXPRESS,ENSG"
ENSMUSG00000037242,ENSMUSG00000037242,Clic4,chloride intracellular channel 4 (mitochondrial) [Source:MGI Symbol;Acc:MGI:1352754],"ARRAYEXPRESS,ENSG"
ENSMUSG00000087270,ENSMUSG00000087270,Gm12983,predicted gene 12983 [Source:MGI Symbol;Acc:MGI:3651378],"ARRAYEXPRESS,ENSG"
ENSMUSG00000085002,ENSMUSG00000085002,Gm12984,predicted gene 12984 [Source:MGI Symbol;Acc:MGI:3651384],"ARRAYEXPRESS,ENSG"
ENSMUSG00000082833,ENSMUSG00000082833,Gm12982,predicted gene 12982 [Source:MGI Symbol;Acc:MGI:3651381],"ARRAYEXPRESS,ENSG"
ENSMUSG00000028809,ENSMUSG00000028809,Srrm1,serine/arginine repetitive matrix 1 [Source:MGI Symbol;Acc:MGI:1858303],"ARRAYEXPRESS,ENSG"
ENSMUSG00000043924,ENSMUSG00000043924,Ncmap,noncompact myelin associated protein [Source:MGI Symbol;Acc:MGI:2444888],"ARRAYEXPRESS,ENSG"
ENSMUSG00000084032,ENSMUSG00000084032,Gm12991,predicted gene 12991 [Source:MGI Symbol;Acc:MGI:3651750],"ARRAYEXPRESS,ENSG"
ENSMUSG00000081136,ENSMUSG00000081136,Gm12990,predicted gene 12990 [Source:MGI Symbol;Acc:MGI:3651107],"ARRAYEXPRESS,ENSG"
ENSMUSG00000059713,ENSMUSG00000059713,Rcan3,regulator of calcineurin 3 [Source:MGI Symbol;Acc:MGI:1858220],"ARRAYEXPRESS,ENSG"
ENSMUSG00000087016,ENSMUSG00000087016,Gm15979,predicted gene 15979 [Source:MGI Symbol;Acc:MGI:3801882],"ARRAYEXPRESS,ENSG"
ENSMUSG00000028803,ENSMUSG00000028803,Nipal3,NIPA-like domain containing 3 [Source:MGI Symbol;Acc:MGI:1921802],"ARRAYEXPRESS,ENSG"
ENSMUSG00000028801,ENSMUSG00000028801,Stpg1,sperm tail PG rich repeat containing 1 [Source:MGI Symbol;Acc:MGI:1926056],"ARRAYEXPRESS,ENSG"
ENSMUSG00002075292,ENSMUSG00002075292,Gm55703,"predicted gene, 55703 [Source:MGI Symbol;Acc:MGI:6847873]","ARRAYEXPRESS,ENSG"
ENSMUSG00000037188,ENSMUSG00000037188,Grhl3,grainyhead like transcription factor 3 [Source:MGI Symbol;Acc:MGI:2655333],"ARRAYEXPRESS,ENSG"
ENSMUSG00002075369,ENSMUSG00002075369,Gm55733,"predicted gene, 55733 [Source:MGI Symbol;Acc:MGI:6847933]","ARRAYEXPRESS,ENSG"
ENSMUSG00000086788,ENSMUSG00000086788,1700029M20Rik,RIKEN cDNA 1700029M20 gene [Source:MGI Symbol;Acc:MGI:1913597],"ARRAYEXPRESS,ENSG"
ENSMUSG00000062157,ENSMUSG00000062157,Ifnlr1,interferon lambda receptor 1 [Source:MGI Symbol;Acc:MGI:2429859],"ARRAYEXPRESS,ENSG"
ENSMUSG00000083678,ENSMUSG00000083678,Gm12989,predicted gene 12989 [Source:MGI Symbol;Acc:MGI:3652245],"ARRAYEXPRESS,ENSG"
ENSMUSG00000037157,ENSMUSG00000037157,Il22ra1,"interleukin 22 receptor, alpha 1 [Source:MGI Symbol;Acc:MGI:2663588]","ARRAYEXPRESS,ENSG"
ENSMUSG00000082743,ENSMUSG00000082743,Gm12988,predicted gene 12988 [Source:MGI Symbol;Acc:MGI:3650876],"ARRAYEXPRESS,ENSG"
ENSMUSG00000037139,ENSMUSG00000037139,Myom3,"myomesin family, member 3 [Source:MGI Symbol;Acc:MGI:2685280]","ARRAYEXPRESS,ENSG"
ENSMUSG00000081672,ENSMUSG00000081672,Gm13000,predicted gene 13000 [Source:MGI Symbol;Acc:MGI:3650940],"ARRAYEXPRESS,ENSG"
ENSMUSG00000028676,ENSMUSG00000028676,Srsf10,serine and arginine-rich splicing factor 10 [Source:MGI Symbol;Acc:MGI:1333805],"ARRAYEXPRESS,ENSG"
ENSMUSG00000028675,ENSMUSG00000028675,Pnrc2,proline-rich nuclear receptor coactivator 2 [Source:MGI Symbol;Acc:MGI:106512],"ARRAYEXPRESS,ENSG"
ENSMUSG00000083430,ENSMUSG00000083430,Gm13006,predicted gene 13006 [Source:MGI Symbol;Acc:MGI:3651355],"ARRAYEXPRESS,ENSG"
ENSMUSG00000062585,ENSMUSG00000062585,Cnr2,cannabinoid receptor 2 (macrophage) [Source:MGI Symbol;Acc:MGI:104650],"ARRAYEXPRESS,ENSG"
ENSMUSG00000028673,ENSMUSG00000028673,Fuca1,"fucosidase, alpha-L- 1, tissue [Source:MGI Symbol;Acc:MGI:95593]","ARRAYEXPRESS,ENSG"
ENSMUSG00000028672,ENSMUSG00000028672,Hmgcl,3-hydroxy-3-methylglutaryl-Coenzyme A lyase [Source:MGI Symbol;Acc:MGI:96158],"ARRAYEXPRESS,ENSG"
ENSMUSG00000028671,ENSMUSG00000028671,Gale,"galactose-4-epimerase, UDP [Source:MGI Symbol;Acc:MGI:1921496]","ARRAYEXPRESS,ENSG"
ENSMUSG00000028670,ENSMUSG00000028670,Lypla2,lysophospholipase 2 [Source:MGI Symbol;Acc:MGI:1347000],"ARRAYEXPRESS,ENSG"
ENSMUSG00000028669,ENSMUSG00000028669,Pithd1,PITH (C-terminal proteasome-interacting domain of thioredoxin-like) domain containing 1 [Source:MGI Symbol;Acc:MGI:1913443],"ARRAYEXPRESS,ENSG"
ENSMUSG00000083852,ENSMUSG00000083852,Gm13007,predicted gene 13007 [Source:MGI Symbol;Acc:MGI:3649722],"ARRAYEXPRESS,ENSG"
ENSMUSG00000028668,ENSMUSG00000028668,Eloa,elongin A [Source:MGI Symbol;Acc:MGI:1351315],"ARRAYEXPRESS,ENSG"
ENSMUSG00000097995,ENSMUSG00000097995,Gm24362,"predicted gene, 24362 [Source:MGI Symbol;Acc:MGI:5454139]","ARRAYEXPRESS,ENSG"
ENSMUSG00000059291,ENSMUSG00000059291,Rpl11,ribosomal protein L11 [Source:MGI Symbol;Acc:MGI:1914275],"ARRAYEXPRESS,ENSG"
ENSMUSG00000007872,ENSMUSG00000007872,Id3,inhibitor of DNA binding 3 [Source:MGI Symbol;Acc:MGI:96398],"ARRAYEXPRESS,ENSG"
ENSMUSG00000018983,ENSMUSG00000018983,E2f2,E2F transcription factor 2 [Source:MGI Symbol;Acc:MGI:1096341],"ARRAYEXPRESS,ENSG"
ENSMUSG00000036995,ENSMUSG00000036995,Asap3,"ArfGAP with SH3 domain, ankyrin repeat and PH domain 3 [Source:MGI Symbol;Acc:MGI:2684986]","ARRAYEXPRESS,ENSG"
ENSMUSG00000001604,ENSMUSG00000001604,Tcea3,"transcription elongation factor A (SII), 3 [Source:MGI Symbol;Acc:MGI:1196908]","ARRAYEXPRESS,ENSG"
ENSMUSG00000051351,ENSMUSG00000051351,Zfp46,zinc finger protein 46 [Source:MGI Symbol;Acc:MGI:99192],"ARRAYEXPRESS,ENSG"
ENSMUSG00000081330,ENSMUSG00000081330,Gm13013,predicted gene 13013 [Source:MGI Symbol;Acc:MGI:3650319],"ARRAYEXPRESS,ENSG"
ENSMUSG00000066037,ENSMUSG00000066037,Hnrnpr,heterogeneous nuclear ribonucleoprotein R [Source:MGI Symbol;Acc:MGI:1891692],"ARRAYEXPRESS,ENSG"
ENSMUSG00000070687,ENSMUSG00000070687,Htr1d,5-hydroxytryptamine (serotonin) receptor 1D [Source:MGI Symbol;Acc:MGI:96276],"ARRAYEXPRESS,ENSG"
ENSMUSG00000066178,ENSMUSG00000066178,6030445D17Rik,RIKEN cDNA 6030445D17 gene [Source:MGI Symbol;Acc:MGI:2443447],"ARRAYEXPRESS,ENSG"
ENSMUSG00000001089,ENSMUSG00000001089,Luzp1,leucine zipper protein 1 [Source:MGI Symbol;Acc:MGI:107629],"ARRAYEXPRESS,ENSG"
ENSMUSG00000036940,ENSMUSG00000036940,Kdm1a,lysine (K)-specific demethylase 1A [Source:MGI Symbol;Acc:MGI:1196256],"ARRAYEXPRESS,ENSG"
ENSMUSG00000082711,ENSMUSG00000082711,Gm12987,predicted gene 12987 [Source:MGI Symbol;Acc:MGI:3649751],"ARRAYEXPRESS,ENSG"
ENSMUSG00000083054,ENSMUSG00000083054,Gm12986,predicted gene 12986 [Source:MGI Symbol;Acc:MGI:3651584],"ARRAYEXPRESS,ENSG"
ENSMUSG00000036921,ENSMUSG00000036921,Tex46,testis expressed 46 [Source:MGI Symbol;Acc:MGI:1914913],"ARRAYEXPRESS,ENSG"
ENSMUSG00000028664,ENSMUSG00000028664,Ephb2,Eph receptor B2 [Source:MGI Symbol;Acc:MGI:99611],"ARRAYEXPRESS,ENSG"
ENSMUSG00000028661,ENSMUSG00000028661,Epha8,Eph receptor A8 [Source:MGI Symbol;Acc:MGI:109378],"ARRAYEXPRESS,ENSG"
ENSMUSG00000060862,ENSMUSG00000060862,Zbtb40,zinc finger and BTB domain containing 40 [Source:MGI Symbol;Acc:MGI:2682254],"ARRAYEXPRESS,ENSG"
ENSMUSG00000077624,ENSMUSG00000077624,Gm23834,"predicted gene, 23834 [Source:MGI Symbol;Acc:MGI:5453611]","ARRAYEXPRESS,ENSG"
ENSMUSG00000087417,ENSMUSG00000087417,Gm13001,predicted gene 13001 [Source:MGI Symbol;Acc:MGI:3702655],"ARRAYEXPRESS,ENSG"
ENSMUSG00000085833,ENSMUSG00000085833,Gm13003,predicted gene 13003 [Source:MGI Symbol;Acc:MGI:3650099],"ARRAYEXPRESS,ENSG"
ENSMUSG00002076872,ENSMUSG00002076872,Gm55824,"predicted gene, 55824 [Source:MGI Symbol;Acc:MGI:6848114]","ARRAYEXPRESS,ENSG"
ENSMUSG00000080806,ENSMUSG00000080806,Gm13005,predicted gene 13005 [Source:MGI Symbol;Acc:MGI:3650102],"ARRAYEXPRESS,ENSG"
ENSMUSG00000082149,ENSMUSG00000082149,Gm13002,predicted gene 13002 [Source:MGI Symbol;Acc:MGI:3650101],"ARRAYEXPRESS,ENSG"
ENSMUSG00000036856,ENSMUSG00000036856,Wnt4,"wingless-type MMTV integration site family, member 4 [Source:MGI Symbol;Acc:MGI:98957]","ARRAYEXPRESS,ENSG"
ENSMUSG00000006699,ENSMUSG00000006699,Cdc42,cell division cycle 42 [Source:MGI Symbol;Acc:MGI:106211],"ARRAYEXPRESS,ENSG"
ENSMUSG00002074982,ENSMUSG00002074982,Gm55831,"predicted gene, 55831 [Source:MGI Symbol;Acc:MGI:6848128]","ARRAYEXPRESS,ENSG"
ENSMUSG00000101493,ENSMUSG00000101493,2810405F17Rik,RIKEN cDNA 2810405F17 gene [Source:MGI Symbol;Acc:MGI:1917225],"ARRAYEXPRESS,ENSG"
ENSMUSG00000070667,ENSMUSG00000070667,Rpl31-ps10,"ribosomal protein L31, pseudogene 10 [Source:MGI Symbol;Acc:MGI:3650100]","ARRAYEXPRESS,ENSG"
ENSMUSG00000086845,ENSMUSG00000086845,Gm13010,predicted gene 13010 [Source:MGI Symbol;Acc:MGI:3651180],"ARRAYEXPRESS,ENSG"
ENSMUSG00000028763,ENSMUSG00000028763,Hspg2,perlecan (heparan sulfate proteoglycan 2) [Source:MGI Symbol;Acc:MGI:96257],"ARRAYEXPRESS,ENSG"
ENSMUSG00000094035,ENSMUSG00000094035,Ldlrad2,low density lipoprotein receptor class A domain containing 2 [Source:MGI Symbol;Acc:MGI:3588210],"ARRAYEXPRESS,ENSG"
ENSMUSG00000043411,ENSMUSG00000043411,Usp48,ubiquitin specific peptidase 48 [Source:MGI Symbol;Acc:MGI:2158502],"ARRAYEXPRESS,ENSG"
ENSMUSG00000041351,ENSMUSG00000041351,Rap1gap,Rap1 GTPase-activating protein [Source:MGI Symbol;Acc:MGI:109338],"ARRAYEXPRESS,ENSG"
ENSMUSG00000087476,ENSMUSG00000087476,Rap1gapos,"RAP1 GTPase activating protein, opposite strand [Source:MGI Symbol;Acc:MGI:1917058]","ARRAYEXPRESS,ENSG"
ENSMUSG00000028766,ENSMUSG00000028766,Alpl,"alkaline phosphatase, liver/bone/kidney [Source:MGI Symbol;Acc:MGI:87983]","ARRAYEXPRESS,ENSG"
ENSMUSG00000057530,ENSMUSG00000057530,Ece1,endothelin converting enzyme 1 [Source:MGI Symbol;Acc:MGI:1101357],"ARRAYEXPRESS,ENSG"
ENSMUSG00000085823,ENSMUSG00000085823,Gm13012,predicted gene 13012 [Source:MGI Symbol;Acc:MGI:3652270],"ARRAYEXPRESS,ENSG"
ENSMUSG00000028760,ENSMUSG00000028760,Eif4g3,"eukaryotic translation initiation factor 4 gamma, 3 [Source:MGI Symbol;Acc:MGI:1923935]","ARRAYEXPRESS,ENSG"
ENSMUSG00000084804,ENSMUSG00000084804,1700095J12Rik,RIKEN cDNA 1700095J12 gene [Source:MGI Symbol;Acc:MGI:1920813],"ARRAYEXPRESS,ENSG"
ENSMUSG00000098513,ENSMUSG00000098513,Mir6399,microRNA 6399 [Source:MGI Symbol;Acc:MGI:5531049],"ARRAYEXPRESS,ENSG"
ENSMUSG00000078519,ENSMUSG00000078519,2310026L22Rik,RIKEN cDNA 2310026L22 gene [Source:MGI Symbol;Acc:MGI:1916844],"ARRAYEXPRESS,ENSG"
ENSMUSG00000028759,ENSMUSG00000028759,Hp1bp3,"heterochromatin protein 1, binding protein 3 [Source:MGI Symbol;Acc:MGI:109369]","ARRAYEXPRESS,ENSG"
ENSMUSG00000045349,ENSMUSG00000045349,Sh2d5,SH2 domain containing 5 [Source:MGI Symbol;Acc:MGI:2446215],"ARRAYEXPRESS,ENSG"
ENSMUSG00000028758,ENSMUSG00000028758,Kif17,kinesin family member 17 [Source:MGI Symbol;Acc:MGI:1098229],"ARRAYEXPRESS,ENSG"
ENSMUSG00000028757,ENSMUSG00000028757,Ddost,dolichyl-di-phosphooligosaccharide-protein glycotransferase [Source:MGI Symbol;Acc:MGI:1194508],"ARRAYEXPRESS,ENSG"
ENSMUSG00000028756,ENSMUSG00000028756,Pink1,PTEN induced putative kinase 1 [Source:MGI Symbol;Acc:MGI:1916193],"ARRAYEXPRESS,ENSG"
ENSMUSG00000028755,ENSMUSG00000028755,Cda,cytidine deaminase [Source:MGI Symbol;Acc:MGI:1919519],"ARRAYEXPRESS,ENSG"
ENSMUSG00000083326,ENSMUSG00000083326,Rpl38-ps1,"ribosomal protein L38, pseudogene 1 [Source:MGI Symbol;Acc:MGI:3649580]","ARRAYEXPRESS,ENSG"
ENSMUSG00000041241,ENSMUSG00000041241,Mul1,mitochondrial ubiquitin ligase activator of NFKB 1 [Source:MGI Symbol;Acc:MGI:1915600],"ARRAYEXPRESS,ENSG"
ENSMUSG00000046447,ENSMUSG00000046447,Camk2n1,calcium/calmodulin-dependent protein kinase II inhibitor 1 [Source:MGI Symbol;Acc:MGI:1913509],"ARRAYEXPRESS,ENSG"
ENSMUSG00000043621,ENSMUSG00000043621,Ubxn10,UBX domain protein 10 [Source:MGI Symbol;Acc:MGI:2443123],"ARRAYEXPRESS,ENSG"
ENSMUSG00000028750,ENSMUSG00000028750,Pla2g2c,"phospholipase A2, group IIC [Source:MGI Symbol;Acc:MGI:106638]","ARRAYEXPRESS,ENSG"
ENSMUSG00000028749,ENSMUSG00000028749,Pla2g2f,"phospholipase A2, group IIF [Source:MGI Symbol;Acc:MGI:1349661]","ARRAYEXPRESS,ENSG"
ENSMUSG00000041202,ENSMUSG00000041202,Pla2g2d,"phospholipase A2, group IID [Source:MGI Symbol;Acc:MGI:1341796]","ARRAYEXPRESS,ENSG"
ENSMUSG00000041193,ENSMUSG00000041193,Pla2g5,"phospholipase A2, group V [Source:MGI Symbol;Acc:MGI:101899]","ARRAYEXPRESS,ENSG"
ENSMUSG00000078518,ENSMUSG00000078518,Gm13030,predicted gene 13030 [Source:MGI Symbol;Acc:MGI:3651765],"ARRAYEXPRESS,ENSG"
ENSMUSG00000028751,ENSMUSG00000028751,Pla2g2e,"phospholipase A2, group IIE [Source:MGI Symbol;Acc:MGI:1349660]","ARRAYEXPRESS,ENSG"
ENSMUSG00000041161,ENSMUSG00000041161,Otud3,OTU domain containing 3 [Source:MGI Symbol;Acc:MGI:1920412],"ARRAYEXPRESS,ENSG"
ENSMUSG00000070661,ENSMUSG00000070661,Rnf186,ring finger protein 186 [Source:MGI Symbol;Acc:MGI:1914075],"ARRAYEXPRESS,ENSG"
ENSMUSG00000041143,ENSMUSG00000041143,Tmco4,transmembrane and coiled-coil domains 4 [Source:MGI Symbol;Acc:MGI:1924306],"ARRAYEXPRESS,ENSG"
ENSMUSG00000028747,ENSMUSG00000028747,Htr6,5-hydroxytryptamine (serotonin) receptor 6 [Source:MGI Symbol;Acc:MGI:1196627],"ARRAYEXPRESS,ENSG"
ENSMUSG00000110296,ENSMUSG00000110296,Gm45533,predicted gene 45533 [Source:MGI Symbol;Acc:MGI:5791369],"ARRAYEXPRESS,ENSG"
ENSMUSG00000041120,ENSMUSG00000041120,Nbl1,"NBL1, DAN family BMP antagonist [Source:MGI Symbol;Acc:MGI:104591]","ARRAYEXPRESS,ENSG"
ENSMUSG00000050608,ENSMUSG00000050608,Micos10,mitochondrial contact site and cristae organizing system subunit 10 [Source:MGI Symbol;Acc:MGI:1913628],"ARRAYEXPRESS,ENSG"
ENSMUSG00000073739,ENSMUSG00000073739,Gm16287,predicted gene 16287 [Source:MGI Symbol;Acc:MGI:3650322],"ARRAYEXPRESS,ENSG"
ENSMUSG00000028745,ENSMUSG00000028745,Capzb,capping actin protein of muscle Z-line subunit beta [Source:MGI Symbol;Acc:MGI:104652],"ARRAYEXPRESS,ENSG"
ENSMUSG00000028744,ENSMUSG00000028744,Slc66a1,solute carrier family 66 member 1 [Source:MGI Symbol;Acc:MGI:2384837],"ARRAYEXPRESS,ENSG"
ENSMUSG00000028743,ENSMUSG00000028743,Akr7a5,"aldo-keto reductase family 7, member A5 (aflatoxin aldehyde reductase) [Source:MGI Symbol;Acc:MGI:107796]","ARRAYEXPRESS,ENSG"
ENSMUSG00002075188,ENSMUSG00002075188,Gm55936,"predicted gene, 55936 [Source:MGI Symbol;Acc:MGI:6848333]","ARRAYEXPRESS,ENSG"
ENSMUSG00000080708,ENSMUSG00000080708,Ccnd3-ps,"cyclin D3, pseudogene [Source:MGI Symbol;Acc:MGI:1100505]","ARRAYEXPRESS,ENSG"
ENSMUSG00000028741,ENSMUSG00000028741,Mrto4,"mRNA turnover 4, ribosome maturation factor [Source:MGI Symbol;Acc:MGI:1917152]","ARRAYEXPRESS,ENSG"
ENSMUSG00000078517,ENSMUSG00000078517,Emc1,ER membrane protein complex subunit 1 [Source:MGI Symbol;Acc:MGI:2443696],"ARRAYEXPRESS,ENSG"
ENSMUSG00000066036,ENSMUSG00000066036,Ubr4,ubiquitin protein ligase E3 component n-recognin 4 [Source:MGI Symbol;Acc:MGI:1916366],"ARRAYEXPRESS,ENSG"
ENSMUSG00000041025,ENSMUSG00000041025,Iffo2,intermediate filament family orphan 2 [Source:MGI Symbol;Acc:MGI:2140675],"ARRAYEXPRESS,ENSG"
ENSMUSG00000094439,ENSMUSG00000094439,Gm21969,predicted gene 21969 [Source:MGI Symbol;Acc:MGI:5439438],"ARRAYEXPRESS,ENSG"
ENSMUSG00000028737,ENSMUSG00000028737,Aldh4a1,"aldehyde dehydrogenase 4 family, member A1 [Source:MGI Symbol;Acc:MGI:2443883]","ARRAYEXPRESS,ENSG"
ENSMUSG00000028738,ENSMUSG00000028738,Tas1r2,"taste receptor, type 1, member 2 [Source:MGI Symbol;Acc:MGI:1933546]","ARRAYEXPRESS,ENSG"
ENSMUSG00000028736,ENSMUSG00000028736,Pax7,paired box 7 [Source:MGI Symbol;Acc:MGI:97491],"ARRAYEXPRESS,ENSG"
ENSMUSG00000085928,ENSMUSG00000085928,4933427I22Rik,RIKEN cDNA 4933427I22 gene [Source:MGI Symbol;Acc:MGI:1918485],"ARRAYEXPRESS,ENSG"
ENSMUSG00000078234,ENSMUSG00000078234,Klhdc7a,kelch domain containing 7A [Source:MGI Symbol;Acc:MGI:2444612],"ARRAYEXPRESS,ENSG"
ENSMUSG00000040964,ENSMUSG00000040964,Arhgef10l,Rho guanine nucleotide exchange factor (GEF) 10-like [Source:MGI Symbol;Acc:MGI:1920004],"ARRAYEXPRESS,ENSG"
ENSMUSG00000086159,ENSMUSG00000086159,Gm13025,predicted gene 13025 [Source:MGI Symbol;Acc:MGI:3650883],"ARRAYEXPRESS,ENSG"
ENSMUSG00002076108,ENSMUSG00002076108,Gm55984,"predicted gene, 55984 [Source:MGI Symbol;Acc:MGI:6848428]","ARRAYEXPRESS,ENSG"
ENSMUSG00000040945,ENSMUSG00000040945,Rcc2,regulator of chromosome condensation 2 [Source:MGI Symbol;Acc:MGI:1919784],"ARRAYEXPRESS,ENSG"
ENSMUSG00000040935,ENSMUSG00000040935,Padi6,"peptidyl arginine deiminase, type VI [Source:MGI Symbol;Acc:MGI:2655198]","ARRAYEXPRESS,ENSG"
ENSMUSG00000025330,ENSMUSG00000025330,Padi4,"peptidyl arginine deiminase, type IV [Source:MGI Symbol;Acc:MGI:1338898]","ARRAYEXPRESS,ENSG"
ENSMUSG00000025328,ENSMUSG00000025328,Padi3,"peptidyl arginine deiminase, type III [Source:MGI Symbol;Acc:MGI:1338891]","ARRAYEXPRESS,ENSG"
ENSMUSG00000085918,ENSMUSG00000085918,Gm13032,predicted gene 13032 [Source:MGI Symbol;Acc:MGI:3702685],"ARRAYEXPRESS,ENSG"
ENSMUSG00000025329,ENSMUSG00000025329,Padi1,"peptidyl arginine deiminase, type I [Source:MGI Symbol;Acc:MGI:1338893]","ARRAYEXPRESS,ENSG"
ENSMUSG00000028927,ENSMUSG00000028927,Padi2,"peptidyl arginine deiminase, type II [Source:MGI Symbol;Acc:MGI:1338892]","ARRAYEXPRESS,ENSG"
ENSMUSG00000087698,ENSMUSG00000087698,Gm13031,predicted gene 13031 [Source:MGI Symbol;Acc:MGI:3702680],"ARRAYEXPRESS,ENSG"
ENSMUSG00000009863,ENSMUSG00000009863,Sdhb,"succinate dehydrogenase complex, subunit B, iron sulfur (Ip) [Source:MGI Symbol;Acc:MGI:1914930]","ARRAYEXPRESS,ENSG"
ENSMUSG00000036622,ENSMUSG00000036622,Atp13a2,ATPase type 13A2 [Source:MGI Symbol;Acc:MGI:1922022],"ARRAYEXPRESS,ENSG"
ENSMUSG00000060572,ENSMUSG00000060572,Mfap2,microfibrillar-associated protein 2 [Source:MGI Symbol;Acc:MGI:99559],"ARRAYEXPRESS,ENSG"
